profile_url,name,country,gender,open_2025_rank_worldwide,backsquat,chad1000x,cleanandjerk,deadlift,fightgonebad,filthy50,fran,grace,helen,l1benchmark,maxpullups,murph,run5k,snatch,sprint400m
https://games.crossfit.com/athlete/1939136,Derrick Gullett,United States,Men,850,415,40:45,335,500,418,,2:12,2:02,,,,48:58,24:00,235,1:00
https://games.crossfit.com/athlete/2376779,Joel Puke,New Zealand,Men,2373,190,,131,232,,,2:42,,,,70,,,112,
https://games.crossfit.com/athlete/10693,Stefan Dallheimer,Germany,Men (40-44),1945,202,,125,200,,17:52,2:35,,,,,36:10,,97,
https://games.crossfit.com/athlete/2624125,Max York,United Kingdom,Men,3386,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/1330319,James Dunn,United Kingdom,Men,4438,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/1576906,Cameron Crawford,United States,Men,286,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/445248,Joey Szwec,United States,Men,2080,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/2736346,Thibauld Cosatti,France,Men,364,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/1775146,Carles Rossello Jover,Spain,Men,4658,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/811078,Andrew Watts,United Kingdom,Men (35-39),480,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/917855,Simon Talbot,Canada,Men (40-44),4769,367,,255,545,,,3:40,,,,,,,195,
https://games.crossfit.com/athlete/1055621,Cole Caldwell,United States,Men,632,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/1771671,Olivier Carrier,Canada,Men,634,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/2379776,Maksym Marchenko,Ukraine,Boys (16-17),4449,,,115,150,,,,,,,,,,,
https://games.crossfit.com/athlete/105707,Zachary Burton,United States,Men (35-39),3250,365,,275,455,,,,2:52,,,54,,,205,1:16
https://games.crossfit.com/athlete/2165273,Joe Thompson,United Kingdom,Men,2361,158,,115,200,,,3:07,,,,50,,,85,
https://games.crossfit.com/athlete/162712,Spencer Panchik,United States,Men,123,,,,,,,,,,,,,,,
