profile_url,name,country,gender,backsquat,cleanandjerk,deadlift,snatch,fran,maxpull-ups,run5k,fightgonebad,filthy50,grace,helen,sprint400m,murph,chad1000x,l1benchmark,runrowrunrx,run400m,runrowrunsprint,runrowrunscaled
https://games.crossfit.com/athlete/47746,Max Olivestrand,Sweden,Men (35-39),,,,,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/1756125,Aitor Rey Gastaka,Spain,Men,,,,,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/1538383,Thomas Cameron,Australia,Men,,,,,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/16311,Joakim Rygh,Norway,Men,,,,,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/995366,Casey Barbour,United States,Men,,,,,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/915697,Connor McQueeney,United States,Men,,,,,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/2846708,Jakes Gurrutxaga,Spain,Men,,,,,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/1667025,Lucas Amantia,Argentina,Men,,,,,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/511512,Robin Svevad,Norway,Men (35-39),,,,,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/1944519,Charles Jones III,United States,Men,,,,,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/166009,Jordan Vance,United States,Men (35-39),410,285,530,215,2:36,42,20:15,384,20:20,1:59,9:08,1:12,,,,,,,
https://games.crossfit.com/athlete/476067,Tim Good,Australia,Men (35-39),,,,,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/39753,Antoine Marmigère,France,Men (35-39),165,120,190,100,2:55,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/2661773,Aymerick THIVET,France,Men,,,,,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/2839581,Brayden Hunt,Australia,Men,,,,,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/1826444,Jake Lackey,Australia,Men,,,,,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/1209747,Neta Halpert,Israel,Men,,,,,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/602783,Brady Manning,United States,Men,395,,,,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/1975290,Augustine Vargas,United States,Men,,,,,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/1185973,Sean McDonough,United States,Men,405,305,435,215,2:22,50,,414,,2:13,,1:32,,,,,,,
https://games.crossfit.com/athlete/1959706,Michael Benko,United States,Men (35-39),405,,485,,3:05,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/469384,Louis-Bernard Dubé,Canada,Men,405,305,505,240,2:52,,18:47,358,,1:47,8:14,,,,,,,,
https://games.crossfit.com/athlete/2505186,Mike Salloum,United States,Men,,,,,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/563731,Chris Campbell,Australia,Men,,,,,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/144996,Hudson Fricke,United States,Men (35-39),375,305,,290,2:16,,,,,1:16,,,,,,,,,
https://games.crossfit.com/athlete/335230,Dillon Smith,United States,Men,485,370,565,315,2:25,82,,,,,,0:56,,,,,,,
https://games.crossfit.com/athlete/471927,Felipe De Roza,Brazil,Men (35-39),206,145,250,116,2:32,66,23:07,,,2:26,,,,,,,,,
https://games.crossfit.com/athlete/11209,Adam Neiffer,United States,Men (40-44),425,305,460,240,2:11,70,19:34,467,16:22,1:32,7:30,0:57,,,,,,,
https://games.crossfit.com/athlete/1268853,Pablo Orbe,Spain,Men,,,,,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/1535120,Kenneth Solis,United States,Men,440,315,505,242,,50,,,,,,1:05,,,,,,,
https://games.crossfit.com/athlete/1209061,Leboulleux Anthony,France,Men (35-39),,,,,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/1977906,Andrea Rossi,Italy,Men,125,,165,,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/1469433,Johan Breton,France,Men (40-44),,,,,,,,,,,,,,,,,,,
