profile_url,name,country,gender,backsquat,cleanandjerk,deadlift,grace,snatch,fran,maxpull-ups,fightgonebad,filthy50,helen,run5k,chad1000x,sprint400m,l1benchmark,murph,run400m
https://games.crossfit.com/athlete/1739367,Josh Felix,United States,Men,,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/794436,Josh Schnepp,United States,Men,,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/2143166,Andrew Gold,United States,Men,,,,,,,,,,,,,,3:21,,
https://games.crossfit.com/athlete/2470905,Soroosh Sedaqat,Iran,Men,,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/2180444,Izaak Thacker,United Kingdom,Men,,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/964697,Tristan Faure,United States,Men,465,340,525,,275,2:14,,,,7:39,22:45,,0:50,,,
https://games.crossfit.com/athlete/2214282,Sébastien Chedru,France,Men,142,123,185,,107,2:48,77,,,,17:14,,,,,
https://games.crossfit.com/athlete/2227758,Nick McIntyre,United States,Men,,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/2295071,Gabriel Iula,United States,Men,410,260,455,1:58,,,,,,,,59:56,,,,
https://games.crossfit.com/athlete/130897,Evan Smith,United States,Men,430,325,425,2:00,265,2:57,40,236,,8:30,23:00,,,,,
https://games.crossfit.com/athlete/652290,Reece Mitchell,United Kingdom,Men,,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/1615128,Matías Gaitán,Uruguay,Men,,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/323688,Bobby Wallum,United States,Men (35-39),,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/811078,Andrew Watts,United Kingdom,Men (35-39),,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/1734341,Zackary Marck,United States,Men,,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/2171106,Sergio Martin,Spain,Men,,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/914153,Artyom Matsak,Kazakhstan,Men,210,155,250,2:05,125,2:10,52,,,,,,1:02,,,
https://games.crossfit.com/athlete/1686084,Grant Sutherland,United States,Men,,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/55701,Bailey DiMenna,United States,Men,463,368,510,1:58,315,2:32,,,,,,,,,,
https://games.crossfit.com/athlete/1955494,Cobin Plessinger,United States,Men,395,295,455,2:03,235,3:41,,,,8:04,,,1:01,,39:50,
https://games.crossfit.com/athlete/1983655,Marc Hansen,Denmark,Men,,,,,,,,,,,,,,,41:24,
https://games.crossfit.com/athlete/1573629,Victor Amancio,Brazil,Men,,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/917158,Eren Yayla,Turkey,Men,,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/1475644,Jinsu Kim,"Korea, Republic of",Men,395,,420,,,2:19,,,,,,,,,,
https://games.crossfit.com/athlete/1638460,Kim Keumcheol,"Korea, Republic of",Men,,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/2237515,Trevor Deal,United States,Men,415,315,505,,245,2:36,,,,,,,,,,
https://games.crossfit.com/athlete/2759482,Zach Richardson,United States,Men,,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/2212884,Carlos Mateus Braga de Almeida,Brazil,Men,,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/1806183,Coşkun Aydın,Turkey,Men,180,135,210,,110,,,,,,,,,,,
https://games.crossfit.com/athlete/1758346,Brandon Jowers,United States,Men,465,360,545,,280,2:12,,,,,,,,,,
https://games.crossfit.com/athlete/482764,Eric Evans,United States,Men,460,345,570,,265,2:33,59,,,,19:00,,0:49,,,
https://games.crossfit.com/athlete/369846,Charles Curran,United States,Men,330,278,435,,205,2:46,,327,,,17:20,,,,,
https://games.crossfit.com/athlete/19269,Cody Anderson,United States,Men,460,320,510,1:40,255,2:06,73,489,16:18,7:47,22:33,,0:59,,,
https://games.crossfit.com/athlete/2298706,Ahn Taehyun,"Korea, Republic of",Men,385,260,465,,205,2:33,48,,,,18:53,,1:01,,48:42,
https://games.crossfit.com/athlete/2509961,Samuel Rivera,Puerto Rico,Men,,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/1769047,Jordan Brown,United States,Men,,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/487535,Jakub Cieślik,Poland,Men,,310,,,265,,,,,,,,,,,
https://games.crossfit.com/athlete/120304,Mikolaj Tarnowski,Poland,Men,210,150,240,,115,,,,,,,,,,,
https://games.crossfit.com/athlete/1842246,Jack Fleming,Australia,Men,,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/2282946,Antonino De Rubeis,France,Men (35-39),,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/750357,Jason Rusk,United States,Men,385,255,410,3:13,195,2:49,45,,,10:31,,,,,,
https://games.crossfit.com/athlete/1818031,Fernando Carrillo,United Kingdom,Men,215,160,230,,120,,,,,,21:00,,,,,
https://games.crossfit.com/athlete/1179502,Samuel Mark Whitworth,United Kingdom,Men,,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/2323840,Pedro Duarte,Brazil,Men,,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/1653541,Lee Pinkham,United States,Men,,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/675826,Vinicius Stoelben,Brazil,Men,200,160,250,1:38,134,2:14,60,,,,21:00,,1:03,,,
https://games.crossfit.com/athlete/95750,Mike Needleman,United States,Men,455,355,525,,275,,,,,,19:30,,,,,
https://games.crossfit.com/athlete/744030,Félix-Antoine Lemay,Canada,Men,390,300,445,3:08,225,,,,,,22:42,,,,,
https://games.crossfit.com/athlete/1890390,Mason Griffin,United States,Men,445,335,505,,290,2:25,,,,,21:36,,,,,
https://games.crossfit.com/athlete/148445,Rob Thomas,United States,Men (35-39),495,325,600,1:46,266,2:27,51,435,17:09,7:30,21:45,,1:06,,,
https://games.crossfit.com/athlete/571999,Paul Castillo,United States,Men (35-39),445,335,500,1:12,275,2:18,,,,7:48,21:00,,1:06,,,
https://games.crossfit.com/athlete/2213492,Beyn Le bellour,France,Men,,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/678713,Benjamin Gutierrez,Chile,Men,10,10,,,10,,,,,,,,,,,
https://games.crossfit.com/athlete/2464114,Jaden Van Roekel,United States,Men,425,300,500,,245,2:27,,,,,,,,,,
https://games.crossfit.com/athlete/11244,Christopher Shimley,United States,Men,505,365,505,1:56,285,2:20,61,468,18:00,7:29,21:17,,,,,
https://games.crossfit.com/athlete/7314,Brandon Swan,Australia,Men,200,161,250,1:20,133,2:03,70,410,17:55,7:48,,,0:58,,,
https://games.crossfit.com/athlete/1564872,Oliver Valentin Toft,Denmark,Men,,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/1150475,Landen Ryan,United States,Men,,,,2:03,,,57,,,,18:12,,0:01,,,
https://games.crossfit.com/athlete/1992236,Ourtaud Valentin,France,Men,,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/1679129,Destry Tamai,Australia,Men,180,125,234,,104,,,,,,,,,,,
https://games.crossfit.com/athlete/1780039,Joni Määttä,Finland,Men,,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/1829846,Christian Vega,Mexico,Men (35-39),400,315,487,1:45,230,2:23,,,,8:30,18:30,,1:00,,,
https://games.crossfit.com/athlete/2234209,Jinwoo Ahn,"Korea, Republic of",Men,,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/1877976,Thomas Sandoval,Venezuela,Men,,,,,,,,,,,,,,,,
